,ID,centroid_Brain,cent_x,cent_y,cent_z,volume,ConstPixelSpacing_x,ConstPixelSpacing_y,ConstPixelSpacing_z,coor_x,coor_y,coor_z
0,MPS1,[ 201.70620937  240.11061382   33.39012951],201.70620936587204,240.11061381743565,33.390129505742436,1425876.4697173736,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.75454966633077,137.79395319520663,94.59359817667779
1,MPS2,[ 200.59323893  244.01513533   32.62583079],200.5932389346841,244.01513533234282,32.62583079095,1411642.6347573611,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.11584155982713,140.03466819868362,92.42835453778763
2,MPS3,[ 202.38625488  240.24400748   32.76022771],202.38625488146965,240.24400748033662,32.76022771024696,1357028.5967907058,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.1448121310218,137.87050474721877,92.80909843930421
3,MPS4,[ 201.082082    236.34011075   34.09386476],201.0820819954753,236.34011074580377,34.09386475937782,1164629.2450527705,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.39637733776522,135.63014829081428,96.58726668861631
4,MPS5,[ 200.79205939  240.46753763   33.42101788],200.79205938553363,240.46753762586684,33.42101788436353,1390601.638033567,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.22994003911985,137.99878355139663,94.68110436245374
5,MPS6,[ 199.926813    242.06558373   32.63505896],199.9268129952888,242.06558372593338,32.635058958089374,1370426.4645165699,0.5738769769668579,0.5738769769668579,2.8329808712005615,114.73339505635465,138.9158654163565,92.45449775876972
6,MPS7,[ 201.37508472  239.84370347   33.29689223],201.3750847240785,239.84370346980828,33.29689222552801,1371019.851972952,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.56452485789906,137.64077949178906,94.32945874534755
7,MPS8,[ 202.80531273  238.74116115   33.59901667],202.80531272505678,238.74116115450667,33.599016674976454,1347325.4056800522,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.38529977947383,137.00805584090574,95.18537153135699
8,MPS9,[ 201.26551294  240.2121253    33.08977482],201.26551293717205,240.2121253045159,33.08977482214175,1423170.7721961336,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.50164413206832,137.85220830053964,93.74269910346153
9,MPS10,[ 202.1199951   235.69472592   32.42391004],202.11999509987234,235.6947259152278,32.4239100439722,1447063.0143078275,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.99201177247087,135.25977679526306,91.856316924101
10,MPS11,[ 202.63849436  241.14845951   33.21713742],202.63849435902154,241.14845951261026,33.21713741906547,1298033.1948379325,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.28956655987096,138.3895489453115,94.10351490425288
11,MPS12,[ 201.52205902  241.98506899   32.96190233],201.52205901516297,241.9850689865467,32.96190232943617,1431959.6241444373,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.64887001975846,138.869659861116,93.3804387776739
12,MPS13,[ 201.6921516   237.52894118   33.83065038],201.6921516002673,237.52894117774892,33.83065037514329,1373844.9733847845,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.7464822383026,136.31239070522517,95.84158537305505
13,MPS14,[ 203.23689766  237.96287178   33.53221212],203.23689765594978,237.96287178173435,33.5322121173306,1456784.865401386,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.63297643491914,136.56141348845372,94.99611549743727
14,SDH4,[ 201.63816716  243.66212217   33.23762893],201.63816715748544,243.66212217229602,33.23762892953716,1301485.2916753765,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.71550180947571,139.83208207356645,94.16156696144117
15,SDH7,[ 201.38418539  241.23819605   33.21624937],201.38418538743542,241.2381960476957,33.21624937171482,1314218.8640098188,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.56974751907472,138.44104667678982,94.10099908309574
16,SDH8,[ 202.90955071  243.8904954    33.23735554],202.90955070751318,243.89049540332576,33.237355543387416,1294965.4936483335,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.44511955773103,139.96314021300995,94.16079246370849
17,SDH11,[ 202.11835395  241.57388044   33.4355304 ],202.11835395440357,241.57388043556645,33.435530395903946,1449044.7044923494,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.99106995687049,138.63368821851606,94.72221803004082
18,SDH12,[ 203.43576824  238.20675158   33.40016462],203.43576824427396,238.20675158233627,33.40016462477631,1328445.234976669,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.74710368695425,136.70137049116644,94.62202747694097
19,SDH14,[ 202.19330074  234.23585415   32.94523973],202.1933007409671,234.235854149161,32.94523973213149,1465667.0172642153,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.03408019217694,134.42256387637036,93.33323395824523
20,SDH16-2,[ 201.45340049  240.63835939   33.11030621],201.45340049301092,240.63835938501873,33.110306208233,1309576.260263029,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.60946847462283,138.09681422613886,93.80086412751729
21,SDH24,[ 201.61089462  240.25633235   33.46952159],201.61089462038902,240.25633235362108,33.46952159219753,1356103.0616386128,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.6998507283326,137.87757770824075,94.81851443892977
22,CONT5,[ 201.50158568  242.01085735   33.2527564 ],201.5015856809587,242.01085735145648,33.25275640404063,1308579.8171758966,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.63712084461687,138.88445921001133,94.20442280733909
23,CONT7,[ 201.42825859  239.11329693   33.14255623],201.42825858855832,239.11329693103573,33.1425562347635,1429824.9221000934,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.59504011450038,137.22161599536145,93.8922278357739
24,EDH7,[ 202.13320625  233.51214066   33.06275984],202.1332062475012,233.51214066023658,33.06275984436123,1428164.1836215393,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.99959334593439,134.00724136715627,93.66616618817342
25,Sample3_Pre,[ 200.8958672   242.33732535   33.11305523],200.89586720028245,242.33732535193084,33.113055231340354,1416475.5703297828,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.28951295403344,139.07181167919998,93.80865205739491
26,Sample3_Post,[ 197.81809819  239.04812966   32.46974718],197.81809818505795,239.04812965818718,32.469747180164106,1478658.0973627479,0.5738769769668579,0.5738769769668579,2.8329808712005615,113.52325217577413,137.18421799782195,91.98617265412328
27,Sample4_Pre,[ 201.49821389  238.95361455   33.61825997],201.4982138894748,238.95361454529515,33.61825996674328,1362324.299939174,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.63518585111315,137.1299779505578,95.23988740883134
28,tutorial3,[ 201.9980508   239.66638947   33.03397059],201.9980508030059,239.66638946511083,33.03397058939816,1415870.9868836573,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.92203074802681,137.53902306679942,93.58460677956693
29,ScanD,[ 201.42860603  235.0549945    33.32307951],201.4286060309011,235.05499450026502,33.32307950964021,1309654.6321912305,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.59523950366173,134.8926496647735,94.4036468203061
30,ScanE,[ 201.3090257   239.72852129   33.15917971],201.30902569757762,239.7285212891733,33.159179713387445,1407835.99824472,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.52661510346937,137.5746790901658,93.93932183272835
31,ScanF,[ 201.14103885  242.8396251    33.21586511],201.14103884558259,242.83962509621952,33.21586510836215,1376912.6745743835,0.5738769769668579,0.5738769769668579,2.8329808712005615,115.43021131667626,139.36006993798358,94.09991047236814
32,ScanH,[ 202.69308082  237.19391989   33.89271085],202.69308082147793,237.19391989054407,33.89271084926075,1336558.5955438078,0.5738769769668579,0.5738769769668579,2.8329808712005615,116.32089247392877,136.12012970170449,96.01740150908745
